target_point;heading;velocity;acceleration;stay_point
yes;-6.26555;2.31281;0.160316;no
no;-6.49373;2.26209;0.161422;no
no;-1.67966;-0.251329;0.002848;no
no;-4.86158;0.343835;0.003685;no
yes;-2.9153;-0.982789;-0.161956;yes
no;-3.28928;-0.997522;-0.152057;no
no;-2.98772;-0.996585;-0.161788;no
no;-5.73937;0.863016;0.152753;no
no;-6.0343;0.977425;0.161835;no
no;-4.53622;-0.176745;0.004574;no
no;-1.3494;0.22146;0.002753;no
no;-3.30373;-2.241;0;yes
no;-3.49634;-2.12939;0;no
no;-3.26147;-2.25449;0;no
yes;-6.34671;2.26621;0;no
no;-6.57723;2.17332;0;no
no;-1.75848;-0.423699;0;no
no;-4.94052;0.513557;0;no
yes;-2.9931;-1.0122;0;yes
no;-3.35915;-0.999339;0;no
no;-3.0533;-1.01948;0;no
no;-5.80234;0.90741;0;no
no;-6.10135;1.00659;0;no
no;-4.60283;-0.111909;0;no
no;-1.41562;0.158185;0;no
no;-3.31938;-2.19726;0;yes
no;-3.47728;-2.10785;0;no
no;-3.24024;-2.2216;0;no
yes;-6.32993;2.23002;0;no
no;-6.56252;2.14592;0;no
no;-1.74055;-0.377154;0;no
no;-4.9226;0.465841;0;no
yes;-6.51162;0.99603;0;yes
no;-3.46975;-0.968027;0;no
no;-3.15915;-1.02244;0;no
no;-5.90721;0.951164;0;no
no;-6.21076;1.01991;0;no
no;-4.71069;-0.00174;0;no
no;-1.52331;0.048545;0;no
no;-3.30802;-2.17734;0.079991;yes
no;-3.43957;-2.11056;0.079131;no
no;-3.20046;-2.20402;0.079668;no
yes;-6.29377;2.20772;-0.079222;no
no;-6.52836;2.14182;-0.079642;no
no;-1.70361;-0.292373;-0.001399;no
no;-4.88568;0.380683;-0.001839;no
yes;-6.65619;1.00946;-0.077397;yes
no;-3.6193;-0.962648;0.074857;no
no;-3.30415;-1.06971;0.079919;no
no;-6.05326;1.05547;-0.075232;no
no;-6.36117;1.08071;-0.079941;no
no;-4.85874;0.158073;-0.002338;no
no;-1.67107;-0.108519;-0.001347;no
no;-3.36487;-2.19518;0;yes
no;-3.47959;-2.12369;0;no
no;-3.2386;-2.24047;0;no
yes;-6.33775;2.2477;0;no
no;-6.57414;2.15644;0;no
no;-1.74557;-0.39143;0;no
no;-4.92771;0.480958;0;no
yes;-6.72653;0.968611;0;yes
no;-3.78444;-0.858245;0;no
no;-3.46342;-1.01722;0;no
no;-6.21417;1.06972;0;no
no;-6.52765;1.0404;0;no
no;-5.02226;0.326976;0;no
no;-1.8339;-0.278873;0;no
no;-3.45138;-2.20092;0;yes
no;-3.57362;-2.09859;0;no
no;-3.33054;-2.26979;0;no
yes;-6.43922;2.28285;0;no
no;-6.67766;2.13345;0;no
no;-1.8435;-0.622416;0;no
no;-5.02535;0.711487;0;no
yes;-6.82184;0.98642;0;yes
no;-3.85248;-0.870797;0;no
no;-3.52656;-1.06503;0;no
no;-6.27954;1.14913;0;no
no;-6.59773;1.09275;0;no
no;-5.08921;0.422848;0;no
no;-1.90066;-0.372217;0;no
no;-3.45887;-2.18947;0.079967;yes
no;-3.56871;-2.09747;0.079227;no
no;-3.3235;-2.26647;0.079554;no
yes;-6.43921;2.2765;-0.079308;no
no;-6.67969;2.1257;-0.07953;no
no;-1.84105;-0.615248;-0.001405;no
no;-5.02291;0.70414;-0.001816;no
yes;-4.9874;0.297605;0.002821;yes
no;-3.81923;-0.853771;0.074664;no
no;-3.48772;-1.03091;0.07995;no
